,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteratoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumAliphaticHeterocycles,RingCount,MW,LogP,MR,TPSA
437,27,1,4,5,1,5,8,142,3,1,4,4,3.8370500000000023,109.88570000000004,37.39
438,23,0,4,3,0,4,3,118,3,0,3,3,2.49048,89.27700000000004,37.61000000000001
439,7,3,2,2,2,4,2,42,0,0,0,0,0.5825700000000003,30.3471,49.870000000000005
440,7,0,0,0,0,0,3,44,0,0,0,0,2.832600000000001,34.362999999999985,0.0
441,7,0,0,0,0,0,3,41,0,0,0,0,2.41927,33.481999999999985,0.0
442,7,0,0,0,0,0,0,42,0,0,1,1,2.5866000000000007,32.24899999999998,0.0
443,7,0,0,0,0,0,4,44,0,0,0,0,2.976700000000002,34.432999999999986,0.0
444,7,0,2,2,0,2,1,42,0,0,0,0,0.9579,26.901999999999987,26.3
445,8,0,0,0,0,5,1,50,0,0,0,0,2.8986,29.239999999999995,0.0
446,8,0,0,0,0,0,5,48,0,0,0,0,3.142800000000002,38.955999999999996,0.0
447,8,0,0,0,0,0,4,50,0,0,0,0,3.2227000000000023,38.98,0.0
448,8,0,2,2,0,2,3,48,0,0,0,0,1.3496000000000001,31.540999999999983,26.3
449,8,0,0,0,0,5,1,50,0,0,0,0,2.6293000000000006,24.494999999999997,0.0
450,8,0,0,0,0,0,1,42,1,0,1,1,2.1942900000000005,35.554,0.0
451,8,0,1,1,0,4,2,48,0,0,0,0,1.7087999999999999,22.203999999999994,9.23
452,8,0,0,0,0,0,0,48,0,0,1,1,2.832600000000001,36.79599999999999,0.0
453,8,0,2,2,0,2,2,48,0,0,0,0,1.2055,31.470999999999982,26.3
454,9,0,0,0,0,0,6,54,0,0,0,0,3.5329000000000024,43.57300000000001,0.0
455,9,0,0,0,0,0,5,56,0,0,0,0,3.6128000000000027,43.59700000000001,0.0
456,9,0,2,2,0,2,3,54,0,0,0,0,1.5956,36.087999999999994,26.3
457,10,0,1,1,0,7,3,62,0,0,0,0,2.3528000000000002,22.784999999999997,9.23
458,10,0,1,1,0,7,2,62,0,0,0,0,2.3528000000000002,22.785,9.23
459,10,0,2,2,0,2,7,58,0,0,0,0,2.0868,41.53200000000002,18.46
460,10,0,0,0,0,0,7,60,0,0,0,0,3.9230000000000036,48.190000000000026,0.0
461,10,0,0,0,0,0,6,62,0,0,0,0,4.002900000000003,48.21400000000003,0.0
462,10,2,1,1,1,1,2,54,1,0,1,1,1.52159,43.52940000000002,26.02
463,10,1,2,2,1,2,3,54,1,0,1,1,0.7887899999999999,41.60170000000002,24.92
464,10,4,4,3,3,5,1,54,1,0,1,1,0.32157000000000013,41.297799999999995,74.79
465,10,0,0,0,0,0,7,62,0,0,0,0,4.147000000000004,48.28400000000003,0.0
466,10,1,1,1,1,1,0,52,1,1,2,2,1.60938,42.162700000000015,12.03
467,11,0,0,0,0,4,0,60,1,0,1,1,3.3040900000000004,36.18800000000001,0.0
468,11,3,4,3,3,4,1,58,1,0,1,1,-0.18353000000000003,35.244899999999994,77.76
469,12,1,5,3,1,7,5,70,0,0,0,0,1.157,47.33970000000001,61.77
470,12,2,3,3,1,3,2,62,2,0,2,2,0.5665799999999996,46.58140000000002,43.32
471,12,2,3,3,1,3,2,64,1,0,1,1,1.01018,45.72090000000002,52.32
472,12,2,3,2,1,3,3,64,1,0,1,1,0.66708,45.25290000000002,52.32
473,13,2,4,2,2,4,0,72,0,1,2,2,-0.06630000000000041,46.946400000000025,58.2
474,13,1,4,3,1,4,2,68,1,0,1,1,0.79298,43.83430000000001,63.6
